ID;Name;Sex;Age;Country;Sport;Games_Type;Year;Has_Medal;Height_cm;Weight_kg
ATH-00128;Rahul Kaminski;Male;32;Germany;Boxing;Summer;1904;1;180.7;62.0
ATH-00129;Quentin Yadav;Male;20;Turkey;Diving;Summer;2004;0;163.3;57.6
ATH-00130;Kiran Farah;Male;19;Nigeria;Freestyle Skiing;Winter;2006;0;170.0;83.5
ATH-00131;Kipchoge Hernandez;Male;20;Malaysia;Alpine Skiing;Winter;2006;0;170.6;91.4
ATH-00132;Kamran Gheorghe;Male;37;Venezuela;Judo;Summer;2008;0;181.4;60.6
ATH-00133;Nataliya Wanjiku;Female;32;Belarus;Weightlifting;Summer;1996;0;185.8;117.5
ATH-00134;Dorothy Williams;Female;18;Malaysia;Ice Hockey;Winter;1972;0;199.9;90.3
ATH-00135;Elaine Kuznetsov;Female;31;Finland;Basketball;Summer;1912;1;172.0;112.6
ATH-00136;Mohammed Watanabe;Male;32;Kazakhstan;Volleyball;Summer;2024;0;195.6;82.3
ATH-00137;Alexei Thomas;Male;39;United States;Luge;Winter;1980;0;168.9;62.8
ATH-00138;Laure Constantin;Female;34;Italy;Ice Hockey;Winter;2002;0;177.2;76.4
ATH-00139;Miho Melnyk;Female;35;Brazil;Football (Soccer);Summer;2004;0;173.1;73.5
ATH-00140;Tirunesh Kravchenko;Female;28;Cuba;Football (Soccer);Summer;1906;0;164.0;66.7
ATH-00141;Vahram Gebremariam;Male;23;New Zealand;Freestyle Skiing;Winter;1998;0;163.1;84.1
ATH-00142;Arjun Dibaba;Male;39;Egypt;Canoe/Kayak;Summer;1912;0;184.6;91.4
ATH-00143;Carlos Ferrari;Male;24;Austria;Triathlon;Summer;2004;0;194.8;78.4
ATH-00144;Magdalena Liu;Female;33;Venezuela;Alpine Skiing;Winter;1960;0;183.2;87.8
ATH-00145;Adam Constantin;Male;35;Venezuela;Athletics;Summer;2020;0;198.0;82.2
ATH-00146;Aurelie Jackson;Female;16;Mongolia;Football (Soccer);Summer;2004;1;194.7;72.8
ATH-00147;Lisa Shah;Female;23;Hong Kong;Volleyball;Summer;2020;1;198.1;65.0
ATH-00148;Ashley Bekele;Female;37;United States;Bobsled;Winter;1924;1;181.0;85.0
ATH-00149;Sota Sato;Male;29;Greece;Basketball;Summer;1900;0;173.9;76.0
ATH-00150;Erik Dubois;Male;35;Malaysia;Luge;Winter;1972;0;181.2;65.9
ATH-00151;Nesta Alekseyev;Male;17;Italy;Freestyle Skiing;Winter;1980;0;176.4;61.0
ATH-00152;William Martin;Male;40;Australia;Weightlifting;Summer;1896;0;158.3;106.0
ATH-00153;Sunita Karimov;Female;35;Hungary;Short Track Speed Skating;Winter;1956;0;164.6;79.7
ATH-00154;Adrien Williams;Male;20;United States;Judo;Summer;1900;1;186.5;49.5
ATH-00155;Sarah Grigoryan;Female;42;Mexico;Weightlifting;Summer;1996;1;155.1;136.6
ATH-00156;Olga Gonzalez;Female;22;Great Britain;Basketball;Summer;1904;0;200.3;73.2
ATH-00157;Valentina Perez;Female;17;Mexico;Weightlifting;Summer;2024;0;164.7;90.0
ATH-00158;Linda Han;Female;32;United States;Diving;Summer;1904;0;161.2;79.5
ATH-00159;Shota Tediashvili;Male;28;Great Britain;Triathlon;Summer;1900;0;165.4;70.3
ATH-00160;Sabina Perez;Female;25;Cuba;Canoe/Kayak;Summer;2020;1;168.4;66.6
ATH-00161;Marta Dibaba;Female;17;Denmark;Shooting;Summer;1996;0;163.0;64.9
ATH-00162;Kamran Njoroge;Male;42;Finland;Canoe/Kayak;Summer;2020;0;167.3;62.5
ATH-00163;Naim Karimov;Male;23;South Africa;Speed Skating;Winter;2014;1;166.9;92.9
ATH-00164;Nigar Kiros;Female;20;Soviet Union;Ice Hockey;Winter;1992;0;188.6;81.3
ATH-00165;Donna Tadesse;Female;21;Norway;Cycling;Summer;1900;0;181.0;78.4
ATH-00166;Iryna Choi;Female;15;United States;Triathlon;Summer;1904;0;184.0;62.2
ATH-00167;Lars Kovalev;Male;25;Finland;Figure Skating;Winter;1976;0;186.3;74.3
ATH-00168;Charles Han;Male;34;Great Britain;Judo;Summer;1996;1;192.0;91.9
ATH-00169;Emily Kumar;Female;37;Italy;Basketball;Summer;2016;0;205.6;127.6
ATH-00170;Luca Greco;Male;38;Colombia;Cross-Country Skiing;Winter;1960;1;182.3;85.4
ATH-00171;Alejandro Lopez;Male;20;China;Biathlon;Winter;2022;0;169.7;83.6
ATH-00172;Xia Haile;Female;30;North Korea;Figure Skating;Winter;1988;0;157.4;74.6
ATH-00173;Adam Clark;Male;32;Greece;Biathlon;Winter;1952;0;182.4;74.1
ATH-00174;Irina Biles;Female;16;Poland;Canoe/Kayak;Summer;2008;0;178.0;71.8
ATH-00175;Nancy Shevchenko;Female;42;Italy;Swimming;Summer;1906;0;173.1;90.4
ATH-00176;Gabriela Martin;Female;19;Netherlands;Curling;Winter;1964;1;171.8;67.4
ATH-00177;Haile Bianchi;Male;17;North Korea;Skeleton;Winter;2002;0;168.2;104.3
ATH-00178;Mykhailo Yang;Male;41;Turkey;Luge;Winter;1932;0;174.9;71.7
ATH-00179;George Davaadorj;Male;33;New Zealand;Ski Jumping;Winter;1936;0;169.6;63.7
ATH-00180;Svetlana Kwon;Female;16;New Zealand;Ice Hockey;Winter;1928;0;178.4;90.7
ATH-00181;Isabelle Martin;Female;38;South Africa;Football (Soccer);Summer;1908;1;190.8;84.6
ATH-00182;Hiroshi Volkov;Male;41;Sweden;Short Track Speed Skating;Winter;1980;0;165.4;76.7
ATH-00183;Yuna Shevchenko;Female;33;Iran;Speed Skating;Winter;1992;1;175.4;64.0
ATH-00184;Tigran Williams;Male;30;Greece;Triathlon;Summer;2008;0;188.8;63.2
ATH-00185;Abebe Romano;Male;36;Romania;Cross-Country Skiing;Winter;1988;0;183.7;75.1
ATH-00186;Sakura Wu;Female;31;Romania;Alpine Skiing;Winter;1964;0;180.7;99.9
ATH-00187;Luis Choi;Male;36;Egypt;Gymnastics (Artistic);Summer;2004;0;174.4;70.7
ATH-00188;Kamran Silva;Male;35;Serbia;Canoe/Kayak;Summer;2012;1;172.1;71.8
ATH-00189;Yohan Dibaba;Male;42;North Korea;Weightlifting;Summer;1996;0;168.7;148.8
ATH-00190;Claire Ito;Female;25;France;Judo;Summer;2016;0;176.1;87.7
ATH-00191;Mary Taylor;Female;32;Argentina;Ice Hockey;Winter;1984;0;190.3;95.8
ATH-00192;Xia Garcia;Female;41;Cuba;Football (Soccer);Summer;1900;0;191.4;89.9
ATH-00193;Jennifer Yoon;Female;22;North Korea;Volleyball;Summer;2024;0;198.4;96.7
ATH-00194;Sun Davis;Male;16;Germany;Cycling;Summer;2004;0;173.5;75.6
ATH-00195;Pierre Kipchoge;Male;31;Belarus;Triathlon;Summer;2004;0;169.4;62.1
ATH-00196;Yuki Bondarenko;Female;25;Great Britain;Taekwondo;Summer;1904;0;186.8;52.5
ATH-00197;Jessica Fraser-Pryce;Female;41;Romania;Curling;Winter;1968;0;187.2;68.8
ATH-00198;Lela Martin;Female;38;Canada;Volleyball;Summer;1912;1;203.4;92.6
ATH-00199;Mark Yohannes;Male;33;Great Britain;Rowing;Summer;1904;0;193.3;99.5
ATH-00200;Patricia Nozadze;Female;39;Norway;Gymnastics (Artistic);Summer;1900;1;168.2;48.7
ATH-00201;Yohan Dinu;Male;42;Greece;Cycling;Summer;1896;1;194.2;56.5
ATH-00202;Lisa Grigoryan;Female;29;Kenya;Wrestling;Summer;1996;0;159.3;98.9
ATH-00203;Sun Ionescu;Male;25;New Zealand;Fencing;Summer;2024;0;183.6;83.7
ATH-00204;Nino Ferrari;Female;32;Sweden;Archery;Summer;1896;1;165.3;79.4
ATH-00205;Tomasz Yohannes;Male;16;Bulgaria;Tennis;Summer;2012;1;162.2;84.4
ATH-00206;Adam Li;Male;18;Thailand;Short Track Speed Skating;Winter;1952;0;168.7;62.3
ATH-00207;Lilit Batjargal;Female;35;Mongolia;Short Track Speed Skating;Winter;1968;0;184.5;71.5
ATH-00208;Nataliya Navruzov;Female;36;Switzerland;Rowing;Summer;2016;0;190.7;66.0
ATH-00209;Mykola Martin;Male;37;Russia;Taekwondo;Summer;2008;0;190.0;83.2
ATH-00210;Elnur Yadav;Male;27;Iran;Taekwondo;Summer;2012;0;181.0;84.9
ATH-00211;Marian Volkov;Male;24;Austria;Speed Skating;Winter;2002;1;164.3;68.3
ATH-00212;William Zhao;Male;25;Chinese Taipei;Biathlon;Winter;1988;0;188.1;69.8
ATH-00213;Lisa Ferreira;Female;22;Spain;Volleyball;Summer;1920;0;202.9;104.2
ATH-00214;Deepika Gebremariam;Female;27;Greece;Diving;Summer;1896;1;156.3;76.7
ATH-00215;Jiajun Park;Male;42;China;Athletics;Summer;2008;1;166.0;94.4
ATH-00216;Elmar Meyer;Male;28;Azerbaijan;Weightlifting;Summer;2004;0;155.2;123.4
ATH-00217;Gunther Romano;Male;34;Switzerland;Weightlifting;Summer;1912;0;163.8;125.9
ATH-00218;Patricia Batjargal;Female;42;Austria;Basketball;Summer;1908;1;183.7;114.9
ATH-00219;Sergei Fischer;Male;21;Finland;Short Track Speed Skating;Winter;1948;0;176.1;59.5
ATH-00220;Anthony Robert;Male;34;Portugal;Football (Soccer);Summer;2008;0;167.9;77.0
ATH-00221;Elena Shah;Female;19;Netherlands;Alpine Skiing;Winter;1960;0;176.1;64.4
ATH-00222;Adam Clark;Male;15;South Africa;Tennis;Summer;1908;0;183.0;76.7
ATH-00223;Donna Gheorghe;Female;31;Netherlands;Speed Skating;Winter;1980;0;167.5;63.9
ATH-00224;Daniel Dupont;Male;26;Argentina;Archery;Summer;2016;0;189.3;56.6
ATH-00225;Luca Singh;Male;26;Austria;Canoe/Kayak;Summer;2004;0;175.4;94.7
ATH-00226;Nikolai Clark;Male;31;New Zealand;Short Track Speed Skating;Winter;1948;1;169.2;61.9
ATH-00227;Jennifer Schmidt;Female;16;Azerbaijan;Volleyball;Summer;2008;1;176.7;101.9
ATH-00228;Nancy Lee;Female;29;Uzbekistan;Swimming;Summer;2024;1;194.1;62.3
ATH-00229;Nikolai Singh;Male;27;Iran;Biathlon;Winter;1988;1;166.1;75.6
ATH-00230;Zurab Makarov;Male;32;Iran;Wrestling;Summer;1996;0;173.9;130.1
ATH-00231;Alexandra Han;Female;42;Australia;Boxing;Summer;1920;0;177.5;70.3
ATH-00232;Maxime Mirzayev;Male;23;Australia;Ski Jumping;Winter;1976;0;176.8;61.4
ATH-00233;Vasyl Dibaba;Male;38;Ethiopia;Cross-Country Skiing;Winter;2018;0;175.8;66.2
ATH-00234;Lisa Garcia;Female;23;Singapore;Basketball;Summer;1996;0;172.6;116.4
ATH-00235;Sota Suzuki;Male;36;Great Britain;Taekwondo;Summer;1906;0;171.1;67.2
ATH-00236;Hasmik Munkhbat;Female;33;France;Weightlifting;Summer;2024;1;155.2;71.6
ATH-00237;Alina Tashkentov;Female;23;Egypt;Biathlon;Winter;1936;0;191.7;89.9
ATH-00238;Laure Chikovani;Female;32;Cuba;Archery;Summer;2016;0;179.2;62.1
ATH-00239;Lars Müller;Male;42;Kazakhstan;Tennis;Summer;1996;1;166.6;58.1
ATH-00240;Lela Hernandez;Female;30;India;Gymnastics (Artistic);Summer;2020;0;171.3;44.5
ATH-00241;Kiran Dibaba;Male;37;Greece;Short Track Speed Skating;Winter;1976;0;160.7;62.8
ATH-00242;Meseret Kim;Female;28;Finland;Biathlon;Winter;1976;0;181.3;94.2
ATH-00243;Mihai Wu;Male;30;Norway;Luge;Winter;1980;0;172.0;81.6
ATH-00244;Vikram Silva;Male;23;Armenia;Canoe/Kayak;Summer;1996;0;167.2;94.7
ATH-00245;Isabelle Martirosyan;Female;30;Poland;Judo;Summer;2016;0;181.7;96.3
ATH-00246;Pedro Lopez;Male;35;Netherlands;Wrestling;Summer;1904;0;185.7;96.7
ATH-00247;Siranush Phelps;Female;21;South Korea;Football (Soccer);Summer;2012;1;179.8;89.9
ATH-00248;Piotr Robert;Male;29;Netherlands;Figure Skating;Winter;1968;0;183.4;56.4
ATH-00249;Hakki Alekseyev;Male;29;Iran;Bobsled;Winter;1948;0;186.2;110.2
ATH-00250;Alejandro Rossi;Male;30;United States;Fencing;Summer;1896;0;190.7;78.9
ATH-00251;Deepika Choi;Female;23;Japan;Ice Hockey;Winter;1960;0;194.3;87.7
ATH-00252;Sabina Kravchenko;Female;21;Kenya;Curling;Winter;2006;1;173.5;70.0
ATH-00253;Almaz Rodriguez;Female;40;Canada;Athletics;Summer;1996;0;167.2;97.7
ATH-00254;Paolo Kowalczyk;Male;22;Hungary;Figure Skating;Winter;1924;0;177.5;55.9
ATH-00255;Akiko Shah;Female;16;Switzerland;Rowing;Summer;1908;1;198.8;88.4
ATH-00256;Marco Lochte;Male;22;Belarus;Skeleton;Winter;2018;0;173.7;66.9
ATH-00257;Sifan Volkov;Female;15;Croatia;Alpine Skiing;Winter;1998;0;178.1;81.7
ATH-00258;Iryna Batjargal;Female;20;Mexico;Alpine Skiing;Winter;2022;0;163.0;85.5
ATH-00259;Hasmik Garcia;Female;36;South Korea;Speed Skating;Winter;2006;1;173.3;81.7
ATH-00260;Mark Melnyk;Male;21;Great Britain;Judo;Summer;2020;0;166.2;85.3
ATH-00261;Fabio Gantulga;Male;38;Georgia;Wrestling;Summer;1996;0;188.9;61.2
ATH-00262;Yuki Nozadze;Male;36;Brazil;Archery;Summer;2000;0;185.8;78.1
ATH-00263;Salome Yamamoto;Female;32;Ethiopia;Judo;Summer;2000;0;186.3;70.4
ATH-00264;Priya Popescu;Female;29;Austria;Shooting;Summer;1920;0;169.9;63.9
ATH-00265;Anthony Taylor;Male;29;Belgium;Triathlon;Summer;2024;0;165.9;65.8
ATH-00266;Naoto Bianchi;Male;16;Austria;Skeleton;Winter;1952;1;175.5;99.1
ATH-00267;Jessica Greco;Female;31;Venezuela;Athletics;Summer;2008;0;167.0;95.2
ATH-00268;Maria Mwangi;Female;19;Romania;Short Track Speed Skating;Winter;1932;0;168.8;65.0
ATH-00269;Lasha Nozadze;Male;22;Czech Republic;Ice Hockey;Winter;2010;0;190.2;88.1
ATH-00270;Alejandro Kowalczyk;Male;34;Denmark;Swimming;Summer;2016;0;172.1;84.1
ATH-00271;Patricia Oliveira;Female;37;Azerbaijan;Basketball;Summer;2020;0;179.2;101.4
ATH-00272;Henrik Suzuki;Male;16;Brazil;Swimming;Summer;1920;1;188.9;91.5
ATH-00273;Zurab Hernandez;Male;30;Ethiopia;Figure Skating;Winter;1960;1;163.2;63.5
ATH-00274;Tamar Romano;Female;22;Switzerland;Cross-Country Skiing;Winter;2014;1;193.4;62.4
ATH-00275;Pierre Müller;Male;33;Colombia;Figure Skating;Winter;1994;0;161.8;49.9
ATH-00276;Rahul Yang;Male;35;Egypt;Fencing;Summer;2012;1;192.2;60.8
ATH-00277;Michelle Popov;Female;18;Kazakhstan;Fencing;Summer;1996;0;170.4;82.5
ATH-00278;Miho Adeyemi;Female;30;Portugal;Skeleton;Winter;2018;1;191.5;70.0
